  N       EV_0       EV_1       EV_2       EV_3       EV_4       EV_5       EV_6       EV_7       EV_8       EV_9      EV_10      EV_11      EV_12      EV_13      EV_14      EV_15      EV_16      EV_17      EV_18      EV_19      EV_20      EV_21      EV_22      EV_23      EV_24      EV_25      EV_26      EV_27      EV_28      EV_29      EV_30      EV_31      EV_32      EV_33      EV_34      EV_35      EV_36      EV_37      EV_38      EV_39      EV_40      EV_41      EV_42      EV_43      EV_44      EV_45      EV_46      EV_47      EV_48      EV_49      EV_50      EV_51      EV_52      EV_53      EV_54      EV_55      EV_56      EV_57      EV_58      EV_59      EV_60      EV_61      EV_62      EV_63      EV_64      EV_65      EV_66      EV_67      EV_68      EV_69      EV_70      EV_71      EV_72      EV_73      EV_74      EV_75      EV_76      EV_77      EV_78      EV_79      EV_80      EV_81      EV_82      EV_83      EV_84      EV_85      EV_86      EV_87      EV_88      EV_89      EV_90      EV_91      EV_92      EV_93      EV_94      EV_95      EV_96      EV_97      EV_98      EV_99     EV_100     EV_101     EV_102     EV_103     EV_104     EV_105     EV_106     EV_107     EV_108     EV_109     EV_110     EV_111     EV_112     EV_113     EV_114     EV_115     EV_116     EV_117     EV_118     EV_119     EV_120     EV_121     EV_122     EV_123     EV_124     EV_125     EV_126     EV_127     EV_128     EV_129     EV_130     EV_131     EV_132     EV_133     EV_134     EV_135     EV_136     EV_137     EV_138     EV_139     EV_140     EV_141     EV_142     EV_143     EV_144     EV_145     EV_146     EV_147     EV_148     EV_149     EV_150     EV_151     EV_152     EV_153     EV_154     EV_155     EV_156     EV_157     EV_158     EV_159     EV_160     EV_161      EV_162      EV_163      EV_164      EV_165      EV_166      EV_167      EV_168      EV_169      EV_170      EV_171      EV_172      EV_173      EV_174      EV_175      EV_176      EV_177      EV_178      EV_179      EV_180      EV_181      EV_182      EV_183      EV_184      EV_185      EV_186      EV_187      EV_188      EV_189      EV_190      EV_191      EV_192      EV_193      EV_194      EV_195      EV_196      EV_197       EV_198      EV_199
 21  -0.197668  -0.197668  -0.182552  -0.182552  -0.182229  -0.182229  -0.173467  -0.173467  -0.173368  -0.173367  -0.168228  -0.168216  -0.16816   -0.168151  -0.167546  -0.167545  -0.165294  -0.165284  -0.164569  -0.164554  -0.16327   -0.163266  -0.162158  -0.162146  -0.161708  -0.161704  -0.160562  -0.160561  -0.160516  -0.160482  -0.159741  -0.15971   -0.159093  -0.158692  -0.158672  -0.157314  -0.157314  -0.157204  -0.15678   -0.155482  -0.155296  -0.15522   -0.155     -0.15474   -0.154668  -0.154287  -0.154276  -0.154268  -0.154246  -0.15353   -0.153476  -0.153446  -0.152901  -0.152876  -0.152695  -0.152422  -0.15217   -0.151663  -0.151576  -0.151559  -0.15132   -0.151289  -0.151264  -0.151181  -0.150368  -0.14854   -0.148538  -0.14835   -0.14821   -0.148201  -0.148185  -0.148139  -0.14773   -0.147695  -0.147193  -0.14692   -0.146896  -0.146832  -0.146587  -0.145565  -0.145413  -0.145178  -0.145112  -0.14501   -0.144965  -0.144675  -0.144173  -0.143764  -0.143396  -0.14335   -0.142875  -0.142657  -0.142625  -0.142144  -0.141937  -0.141583  -0.141572  -0.141367  -0.140952  -0.140889  -0.140821  -0.14049   -0.14048   -0.140462  -0.139987  -0.139916  -0.139895  -0.139865  -0.139584  -0.139452  -0.139241  -0.139183  -0.13863   -0.138617  -0.138611  -0.138591  -0.138465  -0.138269  -0.138156  -0.138148  -0.13749   -0.137394  -0.136889  -0.136723  -0.136695  -0.136582  -0.136442  -0.135579  -0.135329  -0.135217  -0.134316  -0.134247  -0.134005  -0.133982  -0.133354  -0.133212  -0.133109  -0.132977  -0.132713  -0.132597  -0.132557  -0.132487  -0.131526  -0.131464  -0.131386  -0.131318  -0.129538  -0.129518  -0.129405  -0.129399  -0.129345  -0.129319  -0.128947  -0.128552  -0.128433  -0.128359  -0.126341  -0.126335  -0.126252  -0.126242  -0.125017  -0.124979  -0.124968   -0.124949   -0.124674   -0.124669   -0.124668   -0.12466    -0.121086   -0.121083   -0.121059   -0.121056   -0.120963   -0.120955   -0.120888   -0.120885   -0.118518   -0.118516   -0.11851    -0.118505   -0.116163   -0.11616    -0.116155   -0.116153   -0.11221    -0.112208   -0.112149   -0.112147   -0.111741   -0.111741   -0.106119   -0.106119   -0.106083   -0.106083   -0.0964193  -0.0964193  -0.0963195  -0.0963194  -0.0806079   -0.0806079
 22  -0.196657  -0.196656  -0.182081  -0.182081  -0.181701  -0.181701  -0.173094  -0.173093  -0.172968  -0.172967  -0.167739  -0.167738  -0.167684  -0.167683  -0.167569  -0.167568  -0.164653  -0.164643  -0.164013  -0.163998  -0.162567  -0.162561  -0.161469  -0.161462  -0.160923  -0.160919  -0.160043  -0.159966  -0.159965  -0.159961  -0.15983   -0.159748  -0.158892  -0.158792  -0.158768  -0.156994  -0.156948  -0.156836  -0.156377  -0.155509  -0.155411  -0.155223  -0.154986  -0.154783  -0.154728  -0.153759  -0.153749  -0.153743  -0.153734  -0.153473  -0.153447  -0.153427  -0.152843  -0.152814  -0.152659  -0.152367  -0.152113  -0.151619  -0.151563  -0.151503  -0.151364  -0.151318  -0.151124  -0.151001  -0.150231  -0.148732  -0.148546  -0.14854   -0.148089  -0.148072  -0.148039  -0.148029  -0.147831  -0.147601  -0.147275  -0.14704   -0.14696   -0.146744  -0.146646  -0.145629  -0.145379  -0.145181  -0.145071  -0.145017  -0.144947  -0.144542  -0.14425   -0.143766  -0.143501  -0.143207  -0.14288   -0.142673  -0.14263   -0.142124  -0.142     -0.141652  -0.141592  -0.141388  -0.140948  -0.140869  -0.140829  -0.140443  -0.140371  -0.140364  -0.139994  -0.139892  -0.139884  -0.139877  -0.139513  -0.139404  -0.139212  -0.139198  -0.138671  -0.138664  -0.138655  -0.138635  -0.138448  -0.138236  -0.138128  -0.138083  -0.13727   -0.137215  -0.13676   -0.136627  -0.136596  -0.13647   -0.136316  -0.135618  -0.135369  -0.135144  -0.134042  -0.133983  -0.133901  -0.133836  -0.133471  -0.133396  -0.133301  -0.133165  -0.132854  -0.132685  -0.132594  -0.132522  -0.131627  -0.131553  -0.131477  -0.131371  -0.129569  -0.129566  -0.129489  -0.129406  -0.129116  -0.129111  -0.129074  -0.128708  -0.128538  -0.128521  -0.126312  -0.126304  -0.12622   -0.126206  -0.125466  -0.125448  -0.125434   -0.125419   -0.125281   -0.125255   -0.125253   -0.125242   -0.121708   -0.121702   -0.121701   -0.121691   -0.120954   -0.120954   -0.120766   -0.120765   -0.119303   -0.119299   -0.119291   -0.119284   -0.11681    -0.116807   -0.1168     -0.116798   -0.112759   -0.112757   -0.112685   -0.112683   -0.111808   -0.111808   -0.1066     -0.106599   -0.106555   -0.106555   -0.0970256  -0.0970256  -0.0968857  -0.0968856  -0.0816836   -0.0816836
 23  -0.195695  -0.195695  -0.181621  -0.181621  -0.181185  -0.181184  -0.172734  -0.172732  -0.17258   -0.172579  -0.167562  -0.16756   -0.167293  -0.167284  -0.167243  -0.167232  -0.164057  -0.164048  -0.163497  -0.163482  -0.161911  -0.161899  -0.160843  -0.160843  -0.160184  -0.160181  -0.160128  -0.160115  -0.159404  -0.159396  -0.159269  -0.159214  -0.158866  -0.158832  -0.158683  -0.156724  -0.156623  -0.156509  -0.156005  -0.155569  -0.15551   -0.155176  -0.154963  -0.154828  -0.154771  -0.153447  -0.153416  -0.153383  -0.153261  -0.153259  -0.153249  -0.153241  -0.15278   -0.152754  -0.152624  -0.15231   -0.15206   -0.151807  -0.151768  -0.151391  -0.151187  -0.15117   -0.150929  -0.150823  -0.150095  -0.148922  -0.148748  -0.148555  -0.147982  -0.147956  -0.147944  -0.147893  -0.147853  -0.147544  -0.14735   -0.147109  -0.147001  -0.146695  -0.146643  -0.145685  -0.145345  -0.145174  -0.145061  -0.145036  -0.144878  -0.144415  -0.144336  -0.143761  -0.143592  -0.143085  -0.142885  -0.142669  -0.142642  -0.142123  -0.142055  -0.141716  -0.141607  -0.141404  -0.140944  -0.140863  -0.140843  -0.140427  -0.140295  -0.140261  -0.140006  -0.139889  -0.139864  -0.139841  -0.139451  -0.139357  -0.139216  -0.139201  -0.138712  -0.138709  -0.138697  -0.138676  -0.138437  -0.138201  -0.13811   -0.138024  -0.13715   -0.136974  -0.136619  -0.136561  -0.136461  -0.13637   -0.136206  -0.135666  -0.135403  -0.135075  -0.133861  -0.133847  -0.133809  -0.133736  -0.133591  -0.133577  -0.133473  -0.133308  -0.132934  -0.13274   -0.132583  -0.132552  -0.131729  -0.131645  -0.131564  -0.131412  -0.129607  -0.129605  -0.129589  -0.129448  -0.129166  -0.128902  -0.128894  -0.128853  -0.128672  -0.128633  -0.126324  -0.126316  -0.126234  -0.126222  -0.125968  -0.125952  -0.125948   -0.125945   -0.125753   -0.125691   -0.125669   -0.125667   -0.122315   -0.122313   -0.122305   -0.122295   -0.120956   -0.120955   -0.120681   -0.120681   -0.120024   -0.120016   -0.12       -0.119991   -0.117407   -0.117404   -0.117397   -0.117396   -0.113273   -0.113271   -0.113188   -0.113186   -0.1119     -0.1119     -0.107064   -0.107064   -0.107011   -0.10701    -0.0976194  -0.0976194  -0.097439   -0.097439   -0.0827109   -0.0827109
 24  -0.19478   -0.194779  -0.181172  -0.181171  -0.180679  -0.180678  -0.172386  -0.172384  -0.172202  -0.172201  -0.167527  -0.167525  -0.166876  -0.166864  -0.16682   -0.166806  -0.163504  -0.163496  -0.163016  -0.163002  -0.161303  -0.161281  -0.160351  -0.160289  -0.16023   -0.160182  -0.159489  -0.159487  -0.158964  -0.158927  -0.158877  -0.158863  -0.158702  -0.158621  -0.158409  -0.156501  -0.156341  -0.156227  -0.155661  -0.155632  -0.155586  -0.155112  -0.15493   -0.154863  -0.154786  -0.153445  -0.153353  -0.153313  -0.152858  -0.152849  -0.152788  -0.152782  -0.152672  -0.152662  -0.152588  -0.152252  -0.152031  -0.151991  -0.151928  -0.151277  -0.151006  -0.151005  -0.150739  -0.15065   -0.149961  -0.149098  -0.148929  -0.148577  -0.148068  -0.147838  -0.147832  -0.147749  -0.147737  -0.147539  -0.147417  -0.147106  -0.147023  -0.146727  -0.146533  -0.145733  -0.145312  -0.145157  -0.145098  -0.145008  -0.144804  -0.144425  -0.144298  -0.143751  -0.143665  -0.142996  -0.142886  -0.142659  -0.142638  -0.142161  -0.142078  -0.141775  -0.141617  -0.141415  -0.14094   -0.140866  -0.140864  -0.140412  -0.140267  -0.140175  -0.140023  -0.1399    -0.139829  -0.139769  -0.139401  -0.139307  -0.139236  -0.139198  -0.138753  -0.13875   -0.138735  -0.138715  -0.138432  -0.138162  -0.138094  -0.137978  -0.137041  -0.136776  -0.136496  -0.136468  -0.136315  -0.136281  -0.136113  -0.135719  -0.135427  -0.135011  -0.133928  -0.133872  -0.133857  -0.133848  -0.133585  -0.133567  -0.133497  -0.133353  -0.132937  -0.132776  -0.132589  -0.132528  -0.13183   -0.131738  -0.131646  -0.131442  -0.129703  -0.129641  -0.129637  -0.129491  -0.129228  -0.128989  -0.128817  -0.12872   -0.128711  -0.128702  -0.126644  -0.126641  -0.12662   -0.126615  -0.126182  -0.126173  -0.126173   -0.126143   -0.126112   -0.126052   -0.125986   -0.125981   -0.122894   -0.122894   -0.12288    -0.122868   -0.12101    -0.121005   -0.120795   -0.120789   -0.120654   -0.120644   -0.120478   -0.120471   -0.11796    -0.117957   -0.117951   -0.117949   -0.113757   -0.113755   -0.113661   -0.113658   -0.112013   -0.112013   -0.107514   -0.107513   -0.107451   -0.107451   -0.098201   -0.098201   -0.0979798  -0.0979798  -0.0836941   -0.0836941
 25  -0.193905  -0.193905  -0.180732  -0.180731  -0.180184  -0.180183  -0.17205   -0.172047  -0.171834  -0.171833  -0.167468  -0.167466  -0.166486  -0.166476  -0.166415  -0.166401  -0.16299   -0.162985  -0.162567  -0.162555  -0.160765  -0.160712  -0.160377  -0.160319  -0.159762  -0.159738  -0.158965  -0.158958  -0.158838  -0.158836  -0.158465  -0.158382  -0.15836   -0.158052  -0.157941  -0.156319  -0.15612   -0.156001  -0.155674  -0.15562   -0.155341  -0.155058  -0.154888  -0.154888  -0.154756  -0.153443  -0.153289  -0.153237  -0.152717  -0.152714  -0.152557  -0.152359  -0.152351  -0.152337  -0.152324  -0.152186  -0.15215   -0.152137  -0.151926  -0.151169  -0.150843  -0.150829  -0.150553  -0.150481  -0.149829  -0.149257  -0.149089  -0.148602  -0.148166  -0.147769  -0.14774   -0.147618  -0.147608  -0.147539  -0.147466  -0.147047  -0.147029  -0.146736  -0.146418  -0.145773  -0.145278  -0.145131  -0.145127  -0.144987  -0.144729  -0.144514  -0.1442    -0.143736  -0.143715  -0.142941  -0.142884  -0.142679  -0.142581  -0.14222   -0.142081  -0.14183   -0.141623  -0.141424  -0.140937  -0.140889  -0.140876  -0.140399  -0.140267  -0.14012   -0.140042  -0.13991   -0.139776  -0.139693  -0.139368  -0.139256  -0.139252  -0.139192  -0.138792  -0.138788  -0.138771  -0.138752  -0.138432  -0.138119  -0.138079  -0.137941  -0.136944  -0.136625  -0.136433  -0.136314  -0.136203  -0.136166  -0.136037  -0.135774  -0.135436  -0.134952  -0.134074  -0.134062  -0.134031  -0.134026  -0.133542  -0.133496  -0.133446  -0.13332   -0.132859  -0.132795  -0.132633  -0.132429  -0.131927  -0.131828  -0.131721  -0.13146   -0.129824  -0.129671  -0.129667  -0.129538  -0.129268  -0.129114  -0.12895   -0.128802  -0.128548  -0.128536  -0.127164  -0.127161  -0.127157  -0.127151  -0.126489  -0.126407  -0.126403   -0.126395   -0.126158   -0.126147   -0.126078   -0.126051   -0.123449   -0.123447   -0.123427   -0.123412   -0.121382   -0.121362   -0.121346   -0.121331   -0.120927   -0.120925   -0.120486   -0.120483   -0.118472   -0.118469   -0.118464   -0.118463   -0.114213   -0.114211   -0.114106   -0.114103   -0.112144   -0.112144   -0.107949   -0.107949   -0.107876   -0.107876   -0.0987706  -0.0987706  -0.0985084  -0.0985084  -0.0846371   -0.0846371
 26  -0.193068  -0.193068  -0.180301  -0.180299  -0.179699  -0.179698  -0.171725  -0.171721  -0.171476  -0.171474  -0.167388  -0.167386  -0.16612   -0.166112  -0.166029  -0.166018  -0.162512  -0.16251   -0.162148  -0.162138  -0.160531  -0.160485  -0.160143  -0.160101  -0.159308  -0.159274  -0.158973  -0.158972  -0.158285  -0.158229  -0.158227  -0.157917  -0.157882  -0.157499  -0.15741   -0.156173  -0.156002  -0.155883  -0.155635  -0.155567  -0.155043  -0.155027  -0.154899  -0.15484   -0.15467   -0.153439  -0.153223  -0.153152  -0.152676  -0.152658  -0.15252   -0.152293  -0.152269  -0.152147  -0.151965  -0.151948  -0.151929  -0.151921  -0.151856  -0.151065  -0.150686  -0.150658  -0.150375  -0.150317  -0.1497    -0.149396  -0.149228  -0.148627  -0.148261  -0.147788  -0.147674  -0.147571  -0.147482  -0.147475  -0.147424  -0.14702   -0.146966  -0.146717  -0.1463    -0.145806  -0.145241  -0.145151  -0.1451    -0.144973  -0.144667  -0.14459   -0.144134  -0.143728  -0.143718  -0.142912  -0.142876  -0.1427    -0.142508  -0.142282  -0.142082  -0.141881  -0.141623  -0.141432  -0.140936  -0.140917  -0.14089   -0.140387  -0.140282  -0.140091  -0.140064  -0.139917  -0.139713  -0.139625  -0.139358  -0.139275  -0.139191  -0.139173  -0.138828  -0.138823  -0.138804  -0.138788  -0.138436  -0.13807   -0.138063  -0.13791   -0.136859  -0.136512  -0.136372  -0.136161  -0.136135  -0.136035  -0.135988  -0.13582   -0.135415  -0.134899  -0.134265  -0.134243  -0.134218  -0.134202  -0.133553  -0.133451  -0.133429  -0.133264  -0.132797  -0.132725  -0.132681  -0.132301  -0.132019  -0.131915  -0.131786  -0.131469  -0.129949  -0.129697  -0.129696  -0.129595  -0.129295  -0.129223  -0.129075  -0.128883  -0.128408  -0.128394  -0.127679  -0.127677  -0.127676  -0.12767   -0.126814  -0.126717  -0.126702   -0.126699   -0.126139   -0.126126   -0.126084   -0.126045   -0.123978   -0.123975   -0.123948   -0.123927   -0.121927   -0.121903   -0.121898   -0.121883   -0.12099    -0.120989   -0.120456   -0.120453   -0.118947   -0.118945   -0.118941   -0.118941   -0.114644   -0.114642   -0.114526   -0.114523   -0.112291   -0.112291   -0.108372   -0.108371   -0.108287   -0.108287   -0.0993284  -0.0993284  -0.0990252  -0.0990251  -0.0855434   -0.0855434
 27  -0.192265  -0.192265  -0.179878  -0.179877  -0.179224  -0.179223  -0.171411  -0.171406  -0.171127  -0.171125  -0.167289  -0.167286  -0.165776  -0.16577   -0.165662  -0.165653  -0.16207   -0.162068  -0.161756  -0.161749  -0.160556  -0.160538  -0.159651  -0.159644  -0.158999  -0.158971  -0.158876  -0.158847  -0.158109  -0.157665  -0.157659  -0.157484  -0.157425  -0.156968  -0.156883  -0.156057  -0.155986  -0.155881  -0.155501  -0.15543   -0.155012  -0.154892  -0.154787  -0.154766  -0.154537  -0.153433  -0.153157  -0.153057  -0.152653  -0.15261   -0.152481  -0.152408  -0.152384  -0.152084  -0.151835  -0.15157   -0.151549  -0.151549  -0.151545  -0.150965  -0.150537  -0.150494  -0.150207  -0.150159  -0.149574  -0.149514  -0.149348  -0.148651  -0.148352  -0.147854  -0.147633  -0.147605  -0.147374  -0.147363  -0.147299  -0.146995  -0.146878  -0.146672  -0.146181  -0.145832  -0.145198  -0.145169  -0.145066  -0.144966  -0.144707  -0.144561  -0.144113  -0.143698  -0.143693  -0.142897  -0.142863  -0.142721  -0.142433  -0.142342  -0.142084  -0.141926  -0.141618  -0.141439  -0.140947  -0.140937  -0.140907  -0.140374  -0.140305  -0.140086  -0.140079  -0.139922  -0.139649  -0.139569  -0.139367  -0.139294  -0.139144  -0.139128  -0.138863  -0.138854  -0.138834  -0.138822  -0.138444  -0.138046  -0.138017  -0.137885  -0.136783  -0.13643   -0.136314  -0.136076  -0.136014  -0.135992  -0.135949  -0.135831  -0.13535   -0.134852  -0.134458  -0.134409  -0.134402  -0.134369  -0.133598  -0.133447  -0.133438  -0.133212  -0.132779  -0.132727  -0.132572  -0.132166  -0.132105  -0.131997  -0.131832  -0.131472  -0.130073  -0.129727  -0.129721  -0.129671  -0.129313  -0.12931   -0.129193  -0.128964  -0.128291  -0.128276  -0.128172  -0.128167  -0.128165  -0.128161  -0.127124  -0.127016  -0.126994   -0.126988   -0.126117   -0.126101   -0.126085   -0.126035   -0.124482   -0.12448    -0.124443   -0.124414   -0.122444   -0.12242    -0.122405   -0.122395   -0.121048   -0.121046   -0.120436   -0.120433   -0.119388   -0.119387   -0.119386   -0.119384   -0.115052   -0.11505    -0.114923   -0.114921   -0.112451   -0.112451   -0.108782   -0.108782   -0.108685   -0.108685   -0.0998747  -0.0998747  -0.0995304  -0.0995304  -0.0864159   -0.0864159
 28  -0.191494  -0.191493  -0.179465  -0.179463  -0.178759  -0.178758  -0.171107  -0.1711    -0.170787  -0.170784  -0.167173  -0.16717   -0.165451  -0.165448  -0.165313  -0.165306  -0.161662  -0.161655  -0.161389  -0.161385  -0.160589  -0.160578  -0.159206  -0.159201  -0.15896   -0.158941  -0.158553  -0.158456  -0.157911  -0.157152  -0.157133  -0.157085  -0.156984  -0.156461  -0.156372  -0.156008  -0.155963  -0.155901  -0.155357  -0.155278  -0.154996  -0.154858  -0.154731  -0.154507  -0.154375  -0.153424  -0.15309   -0.152952  -0.152637  -0.152569  -0.152505  -0.15248   -0.152437  -0.152024  -0.151773  -0.151218  -0.151193  -0.151189  -0.151186  -0.150864  -0.150397  -0.150337  -0.150056  -0.150008  -0.149606  -0.149449  -0.149449  -0.148671  -0.148436  -0.147929  -0.147642  -0.147615  -0.147266  -0.14726   -0.147166  -0.146951  -0.146792  -0.146602  -0.146062  -0.145851  -0.145183  -0.145148  -0.145029  -0.144963  -0.144788  -0.144489  -0.144128  -0.143679  -0.143621  -0.142888  -0.142844  -0.142741  -0.142399  -0.142366  -0.142086  -0.141968  -0.141607  -0.141447  -0.140979  -0.14094   -0.140926  -0.140361  -0.140333  -0.140109  -0.140077  -0.139922  -0.139592  -0.139525  -0.139388  -0.139311  -0.139109  -0.139066  -0.138895  -0.13888   -0.138862  -0.138854  -0.138455  -0.138029  -0.137959  -0.137864  -0.136716  -0.136373  -0.136257  -0.136044  -0.136028  -0.135911  -0.135878  -0.135809  -0.135245  -0.134819  -0.13464   -0.134567  -0.134559  -0.134525  -0.133658  -0.133489  -0.133454  -0.133178  -0.13276   -0.132745  -0.13242   -0.132184  -0.132075  -0.132068  -0.131832  -0.131469  -0.130197  -0.129769  -0.129764  -0.129745  -0.129374  -0.12933   -0.129304  -0.129052  -0.128639  -0.128634  -0.128634  -0.128619  -0.128188  -0.128172  -0.12742   -0.127301  -0.127278   -0.127261   -0.126095   -0.126089   -0.126076   -0.126027   -0.124961   -0.12496    -0.124912   -0.124873   -0.122922   -0.122896   -0.12287    -0.122866   -0.121111   -0.121109   -0.120429   -0.120426   -0.119801   -0.119799   -0.119798   -0.119797   -0.115439   -0.115437   -0.1153     -0.115297   -0.112624   -0.112624   -0.10918    -0.10918    -0.10907    -0.10907    -0.10041    -0.10041    -0.100025   -0.100024   -0.0872571   -0.0872571
 29  -0.190751  -0.190751  -0.179059  -0.179057  -0.178303  -0.178301  -0.170812  -0.170805  -0.170455  -0.170452  -0.167043  -0.16704   -0.165144  -0.165143  -0.164982  -0.164975  -0.161283  -0.16127   -0.161045  -0.161044  -0.160609  -0.160602  -0.158973  -0.158969  -0.158766  -0.158712  -0.15828   -0.158097  -0.157674  -0.156733  -0.156704  -0.156648  -0.156549  -0.15603   -0.155984  -0.155906  -0.155884  -0.155882  -0.155227  -0.155155  -0.154963  -0.154778  -0.154671  -0.154266  -0.154196  -0.15341   -0.153026  -0.15284   -0.152627  -0.152584  -0.152558  -0.152531  -0.15239   -0.151966  -0.151711  -0.150911  -0.150855  -0.150849  -0.150846  -0.150743  -0.150265  -0.150187  -0.149945  -0.149866  -0.14965   -0.149531  -0.149326  -0.148688  -0.148513  -0.148003  -0.147674  -0.147612  -0.147176  -0.147161  -0.147035  -0.146883  -0.146709  -0.146517  -0.145943  -0.145863  -0.145192  -0.145093  -0.144989  -0.144963  -0.144868  -0.144418  -0.14416   -0.143663  -0.14353   -0.14288   -0.142818  -0.142759  -0.142454  -0.14231   -0.142089  -0.142005  -0.141591  -0.141455  -0.141011  -0.140947  -0.140945  -0.140363  -0.140347  -0.140133  -0.14008   -0.139919  -0.139545  -0.139491  -0.139415  -0.139326  -0.139075  -0.139011  -0.138924  -0.138899  -0.138886  -0.138884  -0.138468  -0.13801   -0.137896  -0.137847  -0.136655  -0.136342  -0.136203  -0.136115  -0.135989  -0.135907  -0.135785  -0.135756  -0.135123  -0.134829  -0.134807  -0.134682  -0.13468   -0.134669  -0.133727  -0.133545  -0.133492  -0.13317   -0.132773  -0.132702  -0.132285  -0.132249  -0.132147  -0.132052  -0.131747  -0.131464  -0.130318  -0.129889  -0.129812  -0.129776  -0.129423  -0.129421  -0.129365  -0.129196  -0.129068  -0.129059  -0.129051  -0.128993  -0.128108  -0.128092  -0.127706  -0.127575  -0.127554   -0.127522   -0.1261     -0.126076   -0.126055   -0.126023   -0.125415   -0.125414   -0.125353   -0.125301   -0.123363   -0.123334   -0.123299   -0.123297   -0.121182   -0.121179   -0.120435   -0.12043    -0.120189   -0.120182   -0.120182   -0.120181   -0.115807   -0.115806   -0.115657   -0.115655   -0.112806   -0.112806   -0.109568   -0.109567   -0.109443   -0.109443   -0.100934   -0.100934   -0.100508   -0.100508   -0.0880694   -0.0880694
 30  -0.190035  -0.190034  -0.178661  -0.178659  -0.177855  -0.177854  -0.170526  -0.170518  -0.170131  -0.170128  -0.166901  -0.166897  -0.164854  -0.164854  -0.164665  -0.16466   -0.160931  -0.160913  -0.160724  -0.160722  -0.160614  -0.160609  -0.158923  -0.158922  -0.158435  -0.158328  -0.158043  -0.157766  -0.157402  -0.156451  -0.156339  -0.156209  -0.156133  -0.156019  -0.155873  -0.155819  -0.155537  -0.155414  -0.155125  -0.155069  -0.154888  -0.154648  -0.1546    -0.154044  -0.154006  -0.153389  -0.152965  -0.152725  -0.152648  -0.152619  -0.152619  -0.152494  -0.15234   -0.151907  -0.151645  -0.150737  -0.150536  -0.150529  -0.150523  -0.150513  -0.150141  -0.150043  -0.149917  -0.149745  -0.149602  -0.149582  -0.149204  -0.148699  -0.148585  -0.148074  -0.147699  -0.147618  -0.147113  -0.147061  -0.146908  -0.146794  -0.146631  -0.146425  -0.145868  -0.145826  -0.145198  -0.145034  -0.144965  -0.144944  -0.144943  -0.144349  -0.144197  -0.14365   -0.143434  -0.142872  -0.142786  -0.142775  -0.142505  -0.142267  -0.142093  -0.142039  -0.141571  -0.141464  -0.141043  -0.140969  -0.140952  -0.140396  -0.140331  -0.140156  -0.140088  -0.139913  -0.139511  -0.139466  -0.139445  -0.139337  -0.139045  -0.138971  -0.138951  -0.138911  -0.138908  -0.138905  -0.138483  -0.13799   -0.137833  -0.137831  -0.136602  -0.136338  -0.136193  -0.136151  -0.135961  -0.135916  -0.135768  -0.135653  -0.135031  -0.134959  -0.134926  -0.134798  -0.134748  -0.134692  -0.133799  -0.133611  -0.133546  -0.133191  -0.132764  -0.132656  -0.132331  -0.132214  -0.13214   -0.13208   -0.131623  -0.131457  -0.130437  -0.130034  -0.129876  -0.129838  -0.129639  -0.129586  -0.129504  -0.129499  -0.129416  -0.129331  -0.129267  -0.129156  -0.128045  -0.128043  -0.127967  -0.127839  -0.127825   -0.127772   -0.12613    -0.126067   -0.126048   -0.126023   -0.125832   -0.125832   -0.125755   -0.125697   -0.123768   -0.123736   -0.123696   -0.123687   -0.121261   -0.121256   -0.120552   -0.120545   -0.12054    -0.120539   -0.120448   -0.120446   -0.116157   -0.116156   -0.115997   -0.115994   -0.112998   -0.112997   -0.109944   -0.109944   -0.109804   -0.109803   -0.101447   -0.101447   -0.100981   -0.100981   -0.0888547   -0.0888547
